priority,category,archetype,headline,why,recommended_action,strategic_score
HIGH,Vestidos,PREMIUM_CORE,Vestidos: núcleo premium do sortimento,Importância 100/100 · Preço 80/100 · Markdown 47/100 · Grade 83/100 · Cores 93/100,"Proteger margem e percepção de valor; priorizar storytelling, disponibilidade de grade e monitoramento de ruptura.",84.5
HIGH,Macacões,PREMIUM_CORE,Macacões: núcleo premium do sortimento,Importância 80/100 · Preço 93/100 · Markdown 47/100 · Grade 83/100 · Cores 67/100,"Proteger margem e percepção de valor; priorizar storytelling, disponibilidade de grade e monitoramento de ruptura.",77.8
HIGH,Biquínis,PROMOTION_PRESSURE,Biquínis: pressão promocional requer investigação,Importância 93/100 · Preço 7/100 · Markdown 96/100 · Grade 33/100 · Cores 100/100,Investigar causa da pressão promocional antes de ampliar compras; monitorar profundidade de markdown e cobertura de grade.,50.0
HIGH,Conjuntos,PROMOTION_PRESSURE,Conjuntos: pressão promocional requer investigação,Importância 40/100 · Preço 27/100 · Markdown 97/100 · Grade 70/100 · Cores 50/100,Investigar causa da pressão promocional antes de ampliar compras; monitorar profundidade de markdown e cobertura de grade.,37.3
MEDIUM,Blazers,NICHE_PREMIUM,Blazers: nicho de alto valor,Importância 67/100 · Preço 100/100 · Markdown 47/100 · Grade 93/100 · Cores 50/100,"Tratar como nicho de alto valor; testar exposição seletiva, clienteling e cross-sell sem desconto indiscriminado.",74.5
MEDIUM,Bodies,CORE_ASSORTMENT,Bodies: categoria estrutural do mix,Importância 87/100 · Preço 53/100 · Markdown 47/100 · Grade 33/100 · Cores 73/100,"Monitorar amplitude, diversidade e produtividade futura quando vendas internas estiverem disponíveis.",63.3
MEDIUM,Blusas,WATCHLIST,Blusas: categoria em observação,Importância 60/100 · Preço 73/100 · Markdown 47/100 · Grade 100/100 · Cores 20/100,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal.",62.3
MEDIUM,Calças,WATCHLIST,Calças: categoria em observação,Importância 53/100 · Preço 60/100 · Markdown 47/100 · Grade 70/100 · Cores 33/100,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal.",54.5
MEDIUM,Croppeds,CORE_ASSORTMENT,Croppeds: categoria estrutural do mix,Importância 73/100 · Preço 20/100 · Markdown 47/100 · Grade 33/100 · Cores 83/100,"Monitorar amplitude, diversidade e produtividade futura quando vendas internas estiverem disponíveis.",52.5
MEDIUM,Pareôs,WATCHLIST,Pareôs: categoria em observação,Importância 47/100 · Preço 40/100 · Markdown 47/100 · Grade 33/100 · Cores 83/100,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal.",49.5
MEDIUM,Sem categoria,WATCHLIST,Sem categoria: categoria em observação,Importância 30/100 · Preço 67/100 · Markdown 47/100 · Grade 33/100 · Cores 50/100,"Manter em observação e buscar evidências adicionais de demanda, margem e comportamento temporal.",46.2
MEDIUM,Sobretudos,NICHE_PREMIUM,Sobretudos: nicho de alto valor,Importância 7/100 · Preço 87/100 · Markdown 47/100 · Grade 33/100 · Cores 7/100,"Tratar como nicho de alto valor; testar exposição seletiva, clienteling e cross-sell sem desconto indiscriminado.",37.7
