priority,scope,entity,opportunity_score,evidence_level,headline,recommended_action,evidence
HIGH,CLUSTER,Cluster 2,100.0,MODERATE,Cluster 2: Premium Density,"Investigar composição e papel do cluster; estes sinais descrevem estrutura do catálogo, não demanda.",itens=166; categoria=Vestidos; densidade=84.8; premium=100.0; markdown=0.0
HIGH,PRODUCT,Vestido Cameron Off-White,77.6,MODERATE,Vestido Cameron Off-White: Hero Candidate,"Candidato estrutural a produto-herói; validar com vendas, conversão, margem e estoque antes de confirmar.",categoria=Vestidos; preço=1889.0; desconto=0.0; grade_score=86.7
HIGH,PRODUCT,Vestido Cameron Preto,75.9,MODERATE,Vestido Cameron Preto: Hero Candidate,"Candidato estrutural a produto-herói; validar com vendas, conversão, margem e estoque antes de confirmar.",categoria=Vestidos; preço=1889.0; desconto=0.0; grade_score=86.7
HIGH,CLUSTER,Cluster 0,100.0,EXPLORATORY,Cluster 0: Core Density,"Investigar composição e papel do cluster; estes sinais descrevem estrutura do catálogo, não demanda.",itens=289; categoria=Vestidos; densidade=100.0; premium=46.7; markdown=0.0
HIGH,CLUSTER,Cluster 3,100.0,EXPLORATORY,Cluster 3: Promotional Density,"Investigar composição e papel do cluster; estes sinais descrevem estrutura do catálogo, não demanda.",itens=81; categoria=Biquínis; densidade=41.4; premium=8.4; markdown=100.0
HIGH,CLUSTER,Cluster 1,100.0,EXPLORATORY,Cluster 1: Promotional Density,"Investigar composição e papel do cluster; estes sinais descrevem estrutura do catálogo, não demanda.",itens=46; categoria=Biquínis; densidade=23.5; premium=21.6; markdown=100.0
HIGH,CLUSTER,Cluster 4,76.0,EXPLORATORY,Cluster 4: Sparse Zone,"Investigar composição e papel do cluster; estes sinais descrevem estrutura do catálogo, não demanda.",itens=5; categoria=Biquínis; densidade=2.6; premium=76.0; markdown=0.0
HIGH,PRODUCT,Biquíni Castillo Preto,56.9,EXPLORATORY,Biquíni Castillo Preto: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=232.0; desconto=65.83; grade_score=44.5
HIGH,PRODUCT,Biquíni Castillo Off-White,53.6,EXPLORATORY,Biquíni Castillo Off-White: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=232.0; desconto=65.83; grade_score=44.5
HIGH,PRODUCT,Biquíni Alann Preto,52.7,EXPLORATORY,Biquíni Alann Preto: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=220.0; desconto=68.53; grade_score=44.5
HIGH,PRODUCT,Biquíni Alann Pérola,51.8,EXPLORATORY,Biquíni Alann Pérola: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=220.0; desconto=68.53; grade_score=44.5
HIGH,PRODUCT,Biquíni Castillo Terracota,44.4,EXPLORATORY,Biquíni Castillo Terracota: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=232.0; desconto=65.83; grade_score=44.5
HIGH,PRODUCT,Biquíni Alann Marrom,42.7,EXPLORATORY,Biquíni Alann Marrom: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=220.0; desconto=68.53; grade_score=44.5
HIGH,PRODUCT,Biquíni Riva Preto,40.8,EXPLORATORY,Biquíni Riva Preto: Markdown Watch,Investigar motivo do markdown e comparar com produtos semelhantes antes de ampliar exposição ou recompra.,categoria=Biquínis; preço=120.0; desconto=65.17; grade_score=11.8
